Region,Province,City/Municipality,CQ Status,Requirement#1,Requirement#2,Requirement#3,Requirement#4,Requirement#5,No. of Active Cases,No. of Deaths,No. of Recoveries,No. of Tested,Active 2020,Active 2021,Deaths 2020,Deaths 2021,Recovered 2020,Recovered 2021
2,Cagayan,Abulug,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,38,0,79,117,0,38,0,0,6,73
2,Cagayan,Alcala,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,15,1,216,232,0,15,0,1,21,195
2,Cagayan,Allacapan,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,26,3,124,153,0,26,0,3,11,113
2,Cagayan,Amulung,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,23,4,204,231,0,23,2,2,32,172
2,Cagayan,Aparri,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,83,5,359,447,0,83,1,4,28,331
2,Cagayan,Baggao,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,45,1,429,475,0,45,0,1,57,372
2,Cagayan,Ballesteros,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,4,2,54,60,0,4,1,1,11,43
2,Cagayan,Buguey,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,10,0,70,80,0,10,0,0,7,63
2,Cagayan,Calayan,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,0,0,7,7,0,0,0,0,6,1
2,Cagayan,Camalaniugan,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,52,1,122,175,0,52,0,1,13,109
2,Cagayan,Claveria,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,4,0,82,86,0,4,0,0,6,76
2,Cagayan,Enrile,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,22,2,287,311,0,22,1,1,100,187
2,Cagayan,Gattaran,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,27,6,181,214,0,27,2,4,20,161
2,Cagayan,Gonzaga,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,13,0,159,172,0,13,0,0,16,143
2,Cagayan,Iguig,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,26,2,274,302,0,26,1,1,32,242
2,Cagayan,Lal-lo,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,60,2,344,406,0,60,0,2,53,291
2,Cagayan,Lasam,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,24,2,86,112,0,24,1,1,13,73
2,Cagayan,Pamplona,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,4,0,84,88,0,4,0,0,2,82
2,Cagayan,Penablanca,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,23,2,229,254,0,23,0,2,33,196
2,Cagayan,Piat,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,13,0,148,161,0,13,0,0,18,130
2,Cagayan,Rizal,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,10,0,76,86,0,10,0,0,11,65
2,Cagayan,Sanchez-Mira,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,3,0,91,94,0,3,0,0,7,84
2,Cagayan,Santa Ana,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,22,2,151,175,0,22,0,2,14,137
2,Cagayan,Santa Praxedes,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,0,0,8,8,0,0,0,0,2,6
2,Cagayan,Santa Teresita,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,11,0,19,30,0,11,0,0,7,12
2,Cagayan,Santo Nino ,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,6,0,50,56,0,6,0,0,4,46
2,Cagayan,Solana,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,77,11,640,728,0,77,2,9,93,547
2,Cagayan,Tuao,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,23,6,242,271,0,23,2,4,63,179
2,Cagayan,Tuguegarao,GCQ,Register at https://s-pass.ph,No Travel Coordination Permit (TCP) needed,No Travel Pass needed,Negative RT PCR Test is not required,,651,61,"4,692","5,404",0,651,11,50,746,3946
