Region,Province,City/Municipality,CQ Status,Requirement#1,Requirement#2,Requirement#3,Requirement#4,Requirement#5,No. of Active,No. of Deaths,No. of Recoveries,No. of Tested,Active 2020,Active 2021,Deaths 2020,Deaths 2021,Recovered 2020,Recovered 2021
1,Pangasinan,Agno,MGCQ,Register at https://s-pass.ph,Proof of Essential Travel if coming from the NCR Plus Bubble,Valid Government ID,Negative RT PCR Test is not required,,0,0,60,60,0,0,0,0,22,38
1,Pangasinan,Aguilar,MGCQ,Register at https://s-pass.ph,Proof of Essential Travel if coming from the NCR Plus Bubble,Valid Government ID,Negative RT PCR Test is not required,,4,6,125,135,0,4,3,3,40,85
1,Pangasinan,Alaminos,MGCQ,Register at https://s-pass.ph,Proof of Essential Travel if coming from the NCR Plus Bubble,Valid Government ID,Negative RT PCR Test is not required,,36,22,344,402,1,35,6,16,91,253
1,Pangasinan,Alcala,MGCQ,Register at https://s-pass.ph,Proof of Essential Travel if coming from the NCR Plus Bubble,Valid Government ID,Negative RT-PCR test result is required if individual shows symptoms,,5,1,67,73,0,5,1,0,16,51
1,Pangasinan,Anda,MGCQ,Register at https://s-pass.ph,Proof of Essential Travel if coming from the NCR Plus Bubble,Valid Government ID,Negative RT PCR Test is not required,,9,3,108,120,0,9,1,2,54,54
1,Pangasinan,Asingan,MGCQ,Register at https://s-pass.ph,Proof of Essential Travel if coming from the NCR Plus Bubble,Valid Government ID,Negative RT PCR Test is not required,,26,2,136,164,0,26,1,1,32,104
1,Pangasinan,Balungao,MGCQ,Register at https://s-pass.ph,Proof of Essential Travel if coming from the NCR Plus Bubble,Valid Government ID,Negative RT PCR Test is not required,,10,4,78,92,0,10,2,2,28,50
1,Pangasinan,Bani,MGCQ,Register at https://s-pass.ph,Proof of Essential Travel if coming from the NCR Plus Bubble,Valid Government ID,Negative RT PCR Test is not required,,3,6,71,80,0,3,0,6,15,56
1,Pangasinan,Basista,MGCQ,Register at https://s-pass.ph,Proof of Essential Travel if coming from the NCR Plus Bubble,Valid Government ID,Negative RT PCR Test is not required,,7,6,94,107,0,7,1,5,39,55
1,Pangasinan,Bautista,MGCQ,Register at https://s-pass.ph,Proof of Essential Travel if coming from the NCR Plus Bubble,Valid Government ID,Negative RT PCR Test is not required,,7,1,51,59,0,7,0,1,24,27
1,Pangasinan,Bayambang,MGCQ,Register at https://s-pass.ph,Proof of Essential Travel if coming from the NCR Plus Bubble,Valid Government ID,Negative RT PCR Test is not required,,10,11,230,251,0,10,7,4,77,153
1,Pangasinan,Binalonan,MGCQ,Register at https://s-pass.ph,Proof of Essential Travel if coming from the NCR Plus Bubble,Valid Government ID,Negative RT-PCR test result is required if individual shows symptoms,,21,5,107,133,0,21,1,4,30,77
